(11.3296, -3.35672, -2.35645)
(11.2246, -3.46163, -2.35643)
(11.1197, -3.56658, -2.35642)
(11.0146, -3.6715, -2.35638)
(10.9096, -3.7764, -2.35635)
(10.8046, -3.88134, -2.35632)
(10.6995, -3.98641, -2.35631)
(10.5944, -4.09139, -2.3563)
(10.4893, -4.19646, -2.35631)
(10.3842, -4.30162, -2.35632)
(10.279, -4.40666, -2.35631)
(10.1739, -4.51173, -2.35632)
(10.0687, -4.61693, -2.35631)
(9.96349, -4.72205, -2.35631)
(9.8583, -4.8272, -2.35631)
(9.75306, -4.93234, -2.35631)
(9.64783, -5.03755, -2.35632)
(9.54262, -5.1427, -2.35634)
(9.43737, -5.24793, -2.35634)
(9.33221, -5.35314, -2.35631)
(9.22709, -5.45826, -2.35628)
(9.12202, -5.56333, -2.35625)
(9.01697, -5.66828, -2.35628)
(8.91215, -5.77315, -2.35629)
(8.80751, -5.87786, -2.3563)
(8.70317, -5.98228, -2.35632)
(8.59867, -6.08678, -2.35635)
(8.4941, -6.19129, -2.35636)
(8.38952, -6.29577, -2.35641)
(8.28498, -6.40019, -2.35643)
(8.18006, -6.50498, -2.35643)
(8.0754, -6.60965, -2.35645)
(7.9706, -6.71428, -2.35645)
(7.86569, -6.81909, -2.35647)
(7.76067, -6.92404, -2.3565)
(7.65572, -7.02913, -2.35655)
(7.55059, -7.13392, -2.35659)
(7.4456, -7.23878, -2.35671)
(7.34042, -7.34374, 2.35556)
(7.2355, -7.2387, 2.35552)
(7.13059, -7.1336, 2.3555)
(7.02593, -7.02878, 2.35552)
(6.92143, -6.92395, 2.35553)
(6.81652, -6.81882, 2.35551)
(6.71181, -6.71411, 2.35549)
(6.60722, -6.6094, 2.35548)
(6.50252, -6.5046, 2.35549)
(6.39774, -6.39976, 2.35549)
(6.29313, -6.29488, 2.35548)
(6.18839, -6.19011, 2.35549)
(6.08382, -6.08539, 2.3555)
(5.97925, -5.98063, 2.35552)
(5.87462, -5.87583, 2.35554)
(5.76992, -5.77106, 2.35556)
(5.66534, -5.6665, 2.35558)
(5.56076, -5.56189, 2.35563)
(5.45613, -5.45719, 2.35567)
(5.35151, -5.3524, 2.3558)
(5.24651, -5.2475, 2.3558)
(5.14146, -5.14227, 2.35582)
(5.03636, -5.03709, 2.3558)
(4.93128, -4.93205, 2.35582)
(4.82622, -4.82693, 2.35584)
(4.72104, -4.72182, 2.35585)
(4.61574, -4.61634, 2.35575)
